#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
153,Curaçao,"44,127",,277,,"43,567",,283,3,"266,753","1,674","496,693","3,002,563","165,423",North America,4,597,0,,,"1,711"
154,Andorra,"43,774",,153,,"43,192",,429,14,"564,753","1,974","249,838","3,223,300","77,510",Europe,2,507,0,,,"5,535"
155,Burundi,"42,542",,38,,N/A,N/A,N/A,,"3,378",3,"345,742","27,456","12,592,758",Africa,296,"331,388",36,,,"3,314"
156,Aruba,"40,595",,221,,"39,905",,469,1,"377,049","2,053","177,885","1,652,208","107,665",North America,3,487,1,,,"4,356"
157,Mauritius,"38,427",,"1,002",,"36,692",,733,,"30,116",785,"358,675","281,104","1,275,951",Africa,33,"1,273",4,,,574
158,Mayotte,"37,523",,187,,"2,964",,"34,372",,"131,262",654,"176,919","618,894","285,863",Africa,8,"1,529",2,,,"120,239"
159,Togo,"37,348",+20,275,,"36,984",+18,89,,"4,311",32,"751,525","86,748","8,663,354",Africa,232,"31,503",12,2,,10
160,Guinea,"36,597",,442,,"36,113",,42,8,"2,644",32,"660,107","47,699","13,838,911",Africa,378,"31,310",21,,,3
161,Bahamas,"35,835",+21,817,+1,"34,146",+25,872,,"89,433","2,039","241,422","602,511","400,693",North America,11,490,2,52,2,"2,176"
162,Tanzania,"35,366",,841,,N/A,N/A,N/A,7,560,13,,,"63,106,817",Africa,"1,784","75,038",,,,544
163,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,987",569,"778,000","15,803,051","49,231",Europe,1,"1,758",0,,,"547,155"
164,Lesotho,"33,938",,699,,"24,155",,"9,084",,"15,597",321,"431,221","198,179","2,175,916",Africa,64,"3,113",5,,,"4,175"
165,Isle of Man,"33,821",,108,,"26,794",,"6,919",,"393,611","1,257","150,753","1,754,472","85,925",Europe,3,796,1,,,"80,524"
166,Haiti,"31,301",,837,,"29,820",,644,,"2,680",72,"132,422","11,339","11,678,109",North America,373,"13,952",88,,,55
167,Mali,"31,156",+3,737,,"30,325",+2,94,,"1,455",34,"699,155","32,660","21,407,021",Africa,687,"29,046",31,0.1,,4
168,Cayman Islands,"27,171",,28,,"8,553",,"18,590",1,"404,018",416,"222,773","3,312,511","67,252",North America,2,"2,402",0,,,"276,423"
169,Benin,"27,122",,163,,"25,506",,"1,453",5,"2,127",13,"604,310","47,387","12,752,644",Africa,470,"78,237",21,,,114
170,Saint Lucia,"26,937",+26,380,,"26,418",+20,139,,"145,377","2,051","208,814","1,126,952","185,291",North America,7,488,1,140,,750
171,Somalia,"26,748",,"1,350",,"13,182",,"12,216",,"1,595",80,"400,466","23,877","16,772,154",Africa,627,"12,424",42,,,728
172,Congo,"24,128",,385,,"20,178",,"3,565",,"4,169",67,"347,815","60,099","5,787,326",Africa,240,"15,032",17,,,616
173,Timor-Leste,"22,950",,133,,"22,809",,8,,"16,774",97,"269,464","196,944","1,368,227",Asia,60,"10,287",5,,,6
174,Solomon Islands,"21,237",,149,,"16,357",,"4,731",1,"29,485",207,"5,117","7,104","720,274",Australia/Oceania,34,"4,834",141,,,"6,568"
175,Burkina Faso,"20,853",,382,,"20,439",,32,,946,17,"248,995","11,298","22,039,459",Africa,"1,057","57,695",89,,,1
176,Gibraltar,"19,306",,104,,"16,579",,"2,623",,"573,372","3,089","534,283","15,867,750","33,671",Europe,2,324,0,,,"77,901"
177,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,727",33,,,"6,780,811",North America,367,"30,137",,,,"2,071"
178,Grenada,"18,270",,232,,"17,920",,118,4,"160,888","2,043","170,378","1,500,374","113,557",North America,6,489,1,,,"1,039"
179,Liechtenstein,"17,829",+5,85,,"17,619",+5,125,2,"464,963","2,217","102,174","2,664,598","38,345",Europe,2,451,0,130,,"3,260"
180,San Marino,"17,719",,115,,"17,264",,340,4,"520,046","3,375","152,231","4,467,921","34,072",Europe,2,296,0,,,"9,979"
181,South Sudan,"17,697",,138,,"15,630",,"1,929",1,"1,545",12,"410,280","35,820","11,453,908",Africa,647,"82,999",28,,,168
182,Tajikistan,"17,388",,124,,"17,264",,0,,"1,745",12,,,"9,962,309",Asia,573,"80,341",,,,
183,Equatorial Guinea,"15,995",,183,,"15,739",,73,5,"10,704",122,"336,953","225,485","1,494,348",Africa,93,"8,166",4,,,49
184,Bermuda,"15,957",,138,,"15,568",,251,,"258,112","2,232","945,090","15,287,276","61,822",North America,4,448,0,,,"4,060"
185,Djibouti,"15,690",,189,,"15,427",,74,,"15,436",186,"305,941","300,980","1,016,484",Africa,65,"5,378",3,,,73
186,Samoa,"14,812",,29,,"1,605",,"13,178",4,"73,681",144,"149,943","745,881","201,028",Australia/Oceania,14,"6,932",1,,,"65,553"
187,Dominica,"14,781",,67,,"14,450",,264,,"204,327",926,"209,144","2,891,125","72,340",North America,5,"1,080",0,,,"3,649"
188,CAR,"14,649",,113,,"6,859",,"7,677",2,"2,932",23,"81,294","16,271","4,996,243",Africa,341,"44,215",61,,,"1,537"
189,Monaco,"12,808",,57,,"12,581",,170,4,"321,858","1,432","77,770","1,954,315","39,794",Europe,3,698,1,,,"4,272"
190,Tonga,"12,079",,12,,"11,821",,246,,"111,770",111,"535,009","4,950,578","108,070",Australia/Oceania,9,"9,006",0,,,"2,276"
191,Gambia,"12,002",,365,,"11,591",,46,,"4,704",143,"155,686","61,023","2,551,247",Africa,213,"6,990",16,,,18
192,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,147",369,"164,926","2,895,216","56,965",North America,5,"2,713",0,,,"161,310"
193,Yemen,"11,824",,"2,149",,"9,108",,567,23,380,69,"265,253","8,521","31,128,168",Asia,"2,633","14,485",117,,,18
194,Vanuatu,"11,174",+148,14,,"10,963",+124,197,1,"34,770",44,"24,976","77,717","321,373",Australia/Oceania,29,"22,955",13,461,,613
195,Saint Martin,"10,668",,63,,"1,399",,"9,206",7,"266,880","1,576","112,382","2,811,448","39,973",North America,4,634,0,,,"230,305"
196,Sint Maarten,"10,537",,86,,"10,427",,24,10,"240,346","1,962","62,056","1,415,479","43,841",North America,4,510,1,,,547
197,Caribbean Netherlands,"10,302",,35,,"10,222",,45,,"385,756","1,311","30,126","1,128,061","26,706",North America,3,763,1,,,"1,685"
198,Eritrea,"9,788",,103,,"9,674",,11,,"2,686",28,"23,693","6,502","3,643,731",Africa,372,"35,376",154,,,3
199,Niger,"9,031",,310,,"8,628",,93,1,348,12,"254,538","9,811","25,943,456",Africa,"2,873","83,689",102,,,4
200,Antigua and Barbuda,"8,625",,141,,"8,426",,58,1,"86,652","1,417","18,901","189,891","99,536",North America,12,706,5,,,583
201,Guinea-Bissau,"8,348",,171,,"8,105",,72,6,"4,052",83,"143,249","69,531","2,060,206",Africa,247,"12,048",14,,,35
202,Comoros,"8,100",,160,,"7,933",,7,,"8,937",177,,,"906,323",Africa,112,"5,665",,,,8
203,Sierra Leone,"7,694",+1,125,,N/A,N/A,N/A,,927,15,"259,958","31,326","8,298,567",Africa,"1,079","66,389",32,0.1,,331
204,Liberia,"7,493",,294,,"5,747",,"1,452",2,"1,416",56,"139,824","26,415","5,293,328",Africa,706,"18,005",38,,,274
205,Chad,"7,424",,193,,"4,874",,"2,357",,428,11,"191,341","11,022","17,360,153",Africa,"2,338","89,949",91,,,136
206,St. Vincent Grenadines,"7,012",,111,,"6,641",,260,,"62,810",994,"100,196","897,508","111,638",North America,16,"1,006",1,,,"2,329"
207,British Virgin Islands,"6,941",,63,,N/A,N/A,N/A,1,"226,608","2,057","104,909","3,425,041","30,630",North America,4,486,0,,,"2,514"
208,Turks and Caicos,"6,211",,36,,"6,128",,47,4,"156,232",906,"521,408","13,115,533","39,755",North America,6,"1,104",0,,,"1,182"
209,Sao Tome and Principe,"6,023",,73,,"5,937",,13,,"26,507",321,"29,036","127,784","227,227",Africa,38,"3,113",8,,,57
210,Saint Kitts and Nevis,"5,965",+10,43,,"5,851",+4,71,,"110,576",797,"97,132","1,800,575","53,945",North America,9,"1,255",1,185,,"1,316"
211,Cook Islands,"5,768",,1,,"5,740",,27,,"327,802",57,"19,521","1,109,400","17,596",Australia/Oceania,3,"17,596",1,,,"1,534"
212,Palau,"5,201",,6,,"4,555",,640,1,"284,752",328,"59,627","3,264,550","18,265",Australia/Oceania,4,"3,044",0,,,"35,040"
213,St. Barth,"4,630",,6,,N/A,N/A,N/A,,"465,935",604,"78,646","7,914,461","9,937",North America,2,"1,656",0,,,"418,839"
214,Anguilla,"3,411",,9,,"3,376",,26,4,"223,408",589,"51,382","3,365,339","15,268",North America,4,"1,696",0,,,"1,703"
215,Kiribati,"3,236",,13,,"2,665",,558,3,"26,291",106,,,"123,082",Australia/Oceania,38,"9,468",,,,"4,534"
216,Saint Pierre Miquelon,"2,767",,1,,"2,449",,317,1,"482,224",174,"24,026","4,187,173","5,738",North America,2,"5,738",0,,,"55,246"
217,Nauru,"2,240",+756,,,12,,"2,228",2,"204,398",,"7,727","705,083","10,959",Australia/Oceania,5,,1,"68,984",,"203,303"
218,Falkland Islands,"1,807",,,,N/A,N/A,N/A,,"490,899",,"8,632","2,345,015","3,681",South America,2,,0,,,"457,213"
219,Montserrat,"1,016",,8,,"1,007",,1,,"203,281","1,601","13,641","2,729,292","4,998",North America,5,625,0,,,200
220,Diamond Princess,712,,13,,699,,0,,,,,,,,,,,,,
221,Wallis and Futuna,454,,7,,438,,9,,"41,847",645,"20,508","1,890,312","10,849",Australia/Oceania,24,"1,550",1,,,830
222,Macao,150,+21,,,83,,67,,225,,"5,992","8,985","666,884",Asia,"4,446",,111,31,,100
223,Micronesia,38,,,,33,,5,,324,,"21,923","186,717","117,413",Australia/Oceania,"3,090",,5,,,43
224,Vatican City,29,,,,29,,0,,"36,025",,,,805,Europe,28,,,,,
225,Marshall Islands,18,,,,18,,0,,300,,,,"59,982",Australia/Oceania,"3,332",,,,,
226,Western Sahara,10,,1,,9,,0,,16,2,,,"626,452",Africa,"62,645","626,452",,,,
227,Niue,10,,,,9,,1,,"6,068",,,,"1,648",Australia/Oceania,165,,,,,607
228,MS Zaandam,9,,2,,7,,0,,,,,,,,,,,,,
229,Tuvalu,3,,,,,,3,,248,,,,"12,080",Australia/Oceania,"4,027",,,,,248
230,Saint Helena,2,,,,2,,0,,327,,,,"6,113",Africa,"3,057",,,,,
,Total:,"160,740,570","+120,249","1,438,425",+229,"155,083,027","+142,155","4,219,118","10,469",,,,,,Asia,,,,,,
,Total:,"104,941,655","+72,954","1,485,737",+64,"98,503,608","+94,462","4,952,310","8,437",,,,,,North America,,,,,,
,Total:,"59,371,329","+36,306","1,304,069",+100,"56,198,393","+18,811","1,868,867","10,349",,,,,,South America,,,,,,
,Total:,"202,281,356","+166,662","1,853,352",+186,"194,424,187","+104,609","6,003,817","5,887",,,,,,Europe,,,,,,
,Total:,"9,633,902","+29,167","13,812",+32,"9,295,050","+24,016","325,040",141,,,,,,Australia/Oceania,,,,,,
,Total:,"12,295,448","+4,126","255,785",+9,"11,477,097","+3,242","562,566","1,038",,,,,,Africa,,,,,,
,Total:,721,,15,,706,,0,0,,,,,,,,,,,,
,Total:,"549,264,981","+429,464","6,351,195",+620,"524,982,068","+387,295","17,931,718","36,321","70,465.6",814.8,,,,All,,,,,,
