#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"205,417,993","+254,522","1,508,979",+467,"192,930,293","+112,946","10,978,721","10,298",,,,,,Asia,,,,,,
,North America,"121,053,190","+7,047","1,576,624",+3,"115,887,343","+54,032","3,589,223","9,217",,,,,,North America,,,,,,
,Europe,"242,454,600","+13,360","1,978,387",+74,"236,217,903","+41,229","4,258,310","7,856",,,,,,Europe,,,,,,
,South America,"66,557,562","+15,587","1,340,562",+141,"63,986,533","+10,568","1,230,467","10,194",,,,,,South America,,,,,,
,Oceania,"13,542,449","+2,258","23,196",,"13,189,971",+4,"329,282",161,,,,,,Australia/Oceania,,,,,,
,Africa,"12,736,818",+363,"258,322",+1,"12,034,361",+675,"444,135",844,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"661,763,333","+293,137","6,686,085",+686,"634,247,110","+219,454","20,830,138","38,570","84,898",857.8,,,,All,,,,,,
1,China,"400,178","+2,983","5,241",,"350,924",+807,"44,013",611,276,4,"160,000,000","110,461","1,448,471,400",Asia,"3,620","276,373",9,2,,30
2,USA,"102,241,180","+6,823","1,116,085",+2,"99,225,507","+51,249","1,899,588","4,057","305,375","3,334","1,150,868,294","3,437,426","334,805,269",North America,3,300,0,20,0.01,"5,674"
3,India,"44,678,379",+201,"530,695",+2,"44,143,179",+190,"4,505",698,"31,763",377,"909,779,391","646,779","1,406,631,776",Asia,31,"2,651",2,0.1,,3
4,France,"39,159,757",,"161,152",,"37,906,822",,"1,091,783",869,"597,088","2,457","271,490,188","4,139,547","65,584,518",Europe,2,407,0,,,"16,647"
5,Germany,"37,211,937",,"160,768",,"36,420,100","+7,300","631,069","1,406","443,614","1,917","122,332,384","1,458,359","83,883,596",Europe,2,522,1,,,"7,523"
6,Brazil,"36,171,154","+8,391","692,934",+48,"34,712,349",,"765,871","8,318","167,962","3,218","63,776,166","296,146","215,353,593",South America,6,311,3,39,0.2,"3,556"
7,S. Korea,"28,659,055","+58,448","31,790",+46,"27,451,824","+74,644","1,175,441",592,"558,331",619,"15,804,065","307,892","51,329,899",Asia,2,"1,615",3,"1,139",0.9,"22,900"
8,Japan,"28,266,405","+149,665","55,325",+306,"21,024,141","+12,905","7,186,939",556,"225,078",441,"85,881,576","683,853","125,584,838",Asia,4,"2,270",1,"1,192",2,"57,228"
9,Italy,"25,021,606",,"183,936",,"24,401,205",,"436,465",312,"415,208","3,052","261,751,623","4,343,505","60,262,770",Europe,2,328,0,,,"7,243"
10,UK,"24,135,084",,"198,937",,"23,817,698","+3,432","118,449",146,"352,348","2,904","522,526,476","7,628,357","68,497,907",Europe,3,344,0,,,"1,729"
11,Russia,"21,764,292","+6,595","393,383",+52,"21,163,398","+6,176","207,511","2,300","149,269","2,698","273,400,000","1,875,095","145,805,947",Europe,7,371,1,45,0.4,"1,423"
12,Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,5,843,1,,,"1,819"
13,Spain,"13,670,037",,"116,899",,"13,466,158",,"86,980",339,"292,600","2,502","471,036,328","10,082,298","46,719,142",Europe,3,400,0,,,"1,862"
14,Vietnam,"11,524,273",+71,"43,184",,"10,610,804",+41,"870,285",37,"116,461",436,"85,826,548","867,342","98,953,541",Asia,9,"2,291",1,0.7,,"8,795"
15,Australia,"11,077,191","+2,242","16,940",,"10,869,679",,"190,572",106,"424,922",650,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2,"1,539",0,86,,"7,310"
16,Argentina,"9,829,236",,"130,080",,"9,597,167",,"101,989",248,"213,632","2,827","35,716,069","776,264","46,010,234",South America,5,354,1,,,"2,217"
